# x,rho,A0_scalar,C0_scalar,M0_scalar,A0_proca,C0_proca,M0_proca,A0_proca_nr_radial,C0_proca_nr_radial,M0_proca_nr_radial,A0_scalar_sp,C0_scalar_sp,M0_scalar_sp,A2_scalar,C2_scalar,A2_proca,C2_proca
1.229067331809272901e+03,1.417504676243423800e+00,1.000000630668943291e+00,1.000002779406190312e+00,3.875670532357557130e-04,1.000000002408830024e+00,1.000000736079683428e+00,1.480307145396565174e-06,1.000000002406853605e+00,1.000000736076496866e+00,1.479092592483554987e-06,1.000000630712959415e+00,1.000002779468042835e+00,3.875943471205906834e-04,-2.764931286846900264e-13,-1.518067364294588643e-06,1.127705079262250927e-14,-7.312617151326431614e-07
1.255217700571172600e+03,1.447664350206049999e+00,1.000000648760597466e+00,1.000002784045137316e+00,4.071676285346560709e-04,1.000000002612451588e+00,1.000000736230642895e+00,1.639597737816666486e-06,1.000000002610321959e+00,1.000000736227520726e+00,1.638261146325454128e-06,1.000000648781071977e+00,1.000002784067679062e+00,4.071807426902012642e-04,-2.805503317616807705e-13,-1.486522989973610311e-06,1.169903851521917431e-14,-7.310054334694483001e-07
1.281368069333071844e+03,1.477824024168675976e+00,1.000000666614740963e+00,1.000002788334600101e+00,4.270891370740132354e-04,1.000000002826439971e+00,1.000000736389220934e+00,1.810854964337343788e-06,1.000000002826842094e+00,1.000000736387888889e+00,1.811112661186725436e-06,1.000000666647801628e+00,1.000002788373798301e+00,4.271106031817616675e-04,-2.842248766182446350e-13,-1.455104152670218711e-06,1.212442795820711091e-14,-7.307360365885003974e-07
1.307518438094971316e+03,1.507983698131301953e+00,1.000000684227087655e+00,1.000002792294507614e+00,4.473194603988116897e-04,1.000000003057895936e+00,1.000000736560618719e+00,1.999127659351616624e-06,1.000000003056305875e+00,1.000000736557659309e+00,1.998088189803348721e-06,1.000000684284500396e+00,1.000002792363494430e+00,4.473573006194714340e-04,-2.875519029782387113e-13,-1.423839353491603052e-06,1.255474638091611028e-14,-7.304445241303750673e-07
1.333668806856870560e+03,1.538143372093927930e+00,1.000000701659516045e+00,1.000002796015982076e+00,4.678903765270725360e-04,1.000000003300457463e+00,1.000000736740155771e+00,2.200858583303689446e-06,1.000000003298439966e+00,1.000000736736835094e+00,2.199513232457121240e-06,1.000000701693321448e+00,1.000002796050721843e+00,4.679132474242972818e-04,-2.906316020716097854e-13,-1.392695957204195154e-06,1.298773992247550539e-14,-7.301389402125520307e-07
1.359819175618770259e+03,1.568303046056554129e+00,1.000000718798179422e+00,1.000002799361236594e+00,4.887174225812372045e-04,1.000000003554288863e+00,1.000000736927948441e+00,2.416595075952728156e-06,1.000000003553627170e+00,1.000000736925706013e+00,2.416145227330008579e-06,1.000000718833825575e+00,1.000002799398376219e+00,4.887420100193129793e-04,-2.933291849988233348e-13,-1.361763870548193631e-06,1.342329801915218494e-14,-7.298190722080498489e-07
1.385969544380669504e+03,1.598462720019180106e+00,1.000000735639127614e+00,1.000002802344502006e+00,5.097863382738506907e-04,1.000000003823900974e+00,1.000000737127289874e+00,2.649905145098348738e-06,1.000000003822252514e+00,1.000000737124563166e+00,2.648762725806735508e-06,1.000000735711467748e+00,1.000002802423102910e+00,5.098368438646962760e-04,-2.956727256090455515e-13,-1.331065225437172137e-06,1.386202840762228295e-14,-7.294791916989008293e-07
1.412119913142568976e+03,1.628622393981806082e+00,1.000000752265105097e+00,1.000002805071775969e+00,5.311438678894027940e-04,1.000000004109360630e+00,1.000000737338211820e+00,2.901454987640151465e-06,1.000000004106528229e+00,1.000000737334447942e+00,2.899455078683467745e-06,1.000000752303251250e+00,1.000002805107974346e+00,5.311712008640961762e-04,-2.977702657718998898e-13,-1.300540530313146957e-06,1.430337499405434059e-14,-7.291191961167235773e-07
1.438270281904468220e+03,1.658782067944432059e+00,1.000000768552250285e+00,1.000002807404895444e+00,5.526925060891263626e-04,1.000000004407245902e+00,1.000000737558204067e+00,3.169405402630183618e-06,1.000000004405529275e+00,1.000000737555081898e+00,3.168170842043339615e-06,1.000000768592280487e+00,1.000002807443074238e+00,5.527217180143371641e-04,-2.994967648556289695e-13,-1.270299345479423817e-06,1.474650404504572649e-14,-7.287434198831988857e-07
1.464420650666367919e+03,1.688941741907058258e+00,1.000000784492830919e+00,1.000002809350050370e+00,5.744133003487245873e-04,1.000000004718071045e+00,1.000000737787636762e+00,3.454620334776963200e-06,1.000000004719242330e+00,1.000000737786586491e+00,3.455477943925666747e-06,1.000000784581373425e+00,1.000002809439932694e+00,5.744785826239170046e-04,-3.008720014360548649e-13,-1.240363324528242103e-06,1.519133878127998507e-14,-7.283512045079544424e-07
